prefLen;nbrCases;relNr;accLSTM;accRF
1;21009;1;0,678886303;0,738646731
2;21009;1;0,742559613;0,728301367
3;21009;1;0,743559995;0,732833049
4;21009;1;0,743447905;0,73427867
5;21009;1;0,743210198;0,727276388
6;21009;1;0,743472378;0,731919829
7;21009;1;0,74340975;0,737026293
8;21009;1;0,754359386;0,737469119
9;21003;0,999714408;0,754207084;0,74163628
10;21003;0,999714408;0,754023199;0,744863067
11;20993;0,999238422;0,76069582;0,746715407
12;20980;0,998619639;0,768512345;0,757365329
13;20966;0,997953258;0,781044683;0,753636396
14;20951;0,997239278;0,78477597;0,781859967
15;20872;0,993478985;0,803195875;0,784650857
16;20850;0,992431815;0,811040398;0,810249416
17;20080;0,955780856;0,818018521;0,813938996
18;20002;0,952068161;0,835072635;0,825574443
19;19757;0,940406492;0,844982366;0,839768894
20;18761;0,892998239;0,851560721;0,835519192
21;18411;0,876338712;0,859025402;0,841403436
22;17373;0,826931315;0,859016486;0,840335112
23;16848;0,801942025;0,858889105;0,837730483
24;15961;0,759722024;0,859153659;0,833495066
25;15493;0,737445857;0,861689668;0,834674542
26;14513;0,690799181;0,857844118;0,829237997
27;14063;0,66937979;0,861188525;0,83737749
28;13130;0,624970251;0,861626134;0,831919471
29;12770;0,607834737;0,865631532;0,842460708
30;11962;0,56937503;0,864234328;0,834356224
31;11689;0,556380599;0,867339105;0,840221525
32;11058;0,526345852;0,869644996;0,841883479
33;10608;0,50492646;0,872132674;0,836714386
34;10088;0,480175163;0,87332292;0,833188311
35;9577;0,455852254;0,872628658;0,829230659
36;9126;0,434385263;0,872851236;0,841197086
37;8635;0,411014327;0,874181175;0,82373257
38;8119;0,386453425;0,873437621;0,788042992
39;7671;0,36512923;0,873080919;0,554442426
40;7168;0,34118711;0,867531572;0,533168398
41;6782;0,322814032;0,868122644;0,51969936
42;6285;0,299157504;0,866707331;0,456310779
43;5936;0,282545576;0,872005019;0,42459907
44;5478;0,260745395;0,8713187;0,412083032
45;5141;0,24470465;0,874904944;0,377828091
46;4787;0,227854729;0,873416524;0,323828027
47;4496;0,214003522;0,876065842;0,265830779
48;4186;0,199247941;0,879645419;0,278759299
49;3931;0,187110286;0,87770261;0,19655064
50;3653;0,173877862;0,88313672;0,187028614
51;3411;0,162358989;0,878457129;0,157698418
52;3168;0,150792517;0,881488267;0,146813639
53;2938;0,139844828;0,876713117;0,137622242
54;2703;0,128659146;0,87781329;0,086430168
55;2522;0,120043791;0,881170096;0,121670058
56;2323;0,11057166;0,886109193;0,132611823
57;2142;0,101956304;0,887674916;0,131049879
58;1980;0,094245323;0,895260087;0,136465536
59;1841;0,087629111;0,892643773;0,100834565
60;1729;0,082298063;0,891086241;0,081370496
61;1602;0,076253034;0,891646113;0,110895065
62;1505;0,071635966;0,902379368;0,091164098
63;1387;0,066019325;0,900494719;0,056527748
64;1288;0,061307059;0,912078744;0,098735184
65;1209;0,057546766;0,916431621;0,05746814
66;1122;0,053405683;0,91167218;0,073399491
67;1057;0,050311771;0,9076691;0,020801946
68;977;0,046503879;0,905502761;0,021616745
69;917;0,04364796;0,901172916;0,007658459
70;848;0,040363654;0,910504906;0,045607455
71;786;0,037412537;0,912480418;0,050911628
