prefLen;nbrCases;relNr;accLSTM;accRF
1;100253;1;0,085921342;0,755236242
2;54085;0,539485103;0,136027116;0,399469509
3;52536;0,524034193;0,046971512;0,227351625
4;52433;0,523006793;0,25472314;0,725849471
5;8484;0,084625896;0,29268952;0,794582506
