n;mae
101;0,294758971
102;0,293032501
103;0,293956965
104;0,292458613
105;0,287937873
106;0,286644429
107;0,289404424
108;0,293511106
109;0,290990394
110;0,293064728
111;0,292720013
112;0,291797502
113;0,294275783
114;0,296815602
115;0,300201668
116;0,302881401
117;0,300841116
118;0,298594065
119;0,299113019
120;0,299145382
121;0,299490316
122;0,298871204
123;0,300473179
124;0,302905224
125;0,30293386
126;0,304306341
127;0,303945176
128;0,305402908
129;0,308865647
130;0,304629897
131;0,304602484
132;0,302815082
133;0,303814184
134;0,302209759
135;0,300150972
136;0,300570114
137;0,299706854
138;0,294937654
139;0,297440181
140;0,299492266
141;0,29942534
142;0,303723243
143;0,306156117
144;0,305675144
145;0,307355259
146;0,30709509
147;0,305451262
148;0,305459473
149;0,30269487
150;0,306919058
151;0,303457983
152;0,303462388
153;0,302235991
154;0,299743228
155;0,299664683
156;0,295848709
157;0,294858723
158;0,291469003
159;0,291400552
160;0,290173048
161;0,289414742
162;0,289478392
163;0,29011596
164;0,289070657
165;0,288900823
166;0,291029967
167;0,292108731
168;0,289783682
169;0,291418881
170;0,294186127
171;0,292982719
172;0,292208272
173;0,288736503
174;0,289420847
175;0,286071285
176;0,284064782
177;0,282467271
178;0,281338003
179;0,284938795
180;0,287779262
181;0,286954463
182;0,285833529
183;0,287249012
184;0,286920598
185;0,289330513
186;0,292624346
187;0,290282223
188;0,292965597
189;0,297324316
190;0,298695791
191;0,296405984
192;0,292655956
193;0,291525028
194;0,287626585
195;0,285577994
196;0,285827517
197;0,28441655
198;0,284170019
199;0,288421166
200;0,287832084
201;0,288661584
202;0,289239307
203;0,285797864
204;0,285792818
205;0,285706777
206;0,285401729
207;0,28589584
208;0,282658304
209;0,282390411
210;0,280153375
211;0,281277409
212;0,283318894
213;0,282775288
214;0,280050186
215;0,279482607
216;0,277876092
217;0,279534874
218;0,281206422
219;0,280964291
220;0,281654938
221;0,278816977
222;0,279237503
223;0,278953204
224;0,279369418
225;0,281116734
226;0,280203888
227;0,282620662
228;0,279539167
229;0,276063168
230;0,275647014
231;0,276309242
232;0,277201913
233;0,279162741
234;0,281039179
235;0,281113737
236;0,281974312
237;0,281607578
238;0,283214055
239;0,279406288
240;0,276791864
241;0,277430342
242;0,274803132
243;0,272350235
244;0,274098516
245;0,271384074
246;0,269331098
247;0,270606916
248;0,269905454
249;0,269544781
250;0,264653415
251;0,264675577
252;0,26443105
253;0,268491462
254;0,268337758
255;0,271361643
256;0,272414605
257;0,274710415
258;0,276596147
259;0,280709577
260;0,281984659
261;0,284698866
262;0,283654924
263;0,283319372
264;0,284512613
265;0,28401543
266;0,282773184
267;0,284656391
268;0,283074506
269;0,282557841
270;0,279785754
271;0,281543712
272;0,284355549
273;0,287927594
274;0,289248614
275;0,289549386
276;0,289550623
277;0,287782599
278;0,287994255
279;0,286922323
280;0,286282563
281;0,285143325
282;0,285026684
283;0,286924243
284;0,286650872
285;0,287036194
286;0,286664817
287;0,28621237
288;0,283362791
289;0,283431271
290;0,279231929
291;0,27994416
292;0,282066924
293;0,28463732
294;0,284237934
295;0,283119723
296;0,282885949
297;0,285683718
298;0,287041499
299;0,284847015
300;0,285192773
301;0,283280393
302;0,282763585
303;0,283230774
304;0,283935001
305;0,28405273
306;0,28611613
307;0,284221787
308;0,283514039
309;0,2826104
310;0,286377342
311;0,289121496
312;0,287585566
313;0,286505206
314;0,291179786
315;0,290056589
316;0,288709538
317;0,288979623
318;0,28671197
319;0,288515515
320;0,289111767
321;0,291063234
322;0,292740567
323;0,291871296
324;0,29190576
325;0,294092729
326;0,29591513
327;0,294246989
328;0,29539639
329;0,298109483
330;0,299812659
331;0,301506115
332;0,304615609
333;0,30278009
334;0,30001811
335;0,301566162
336;0,299851163
337;0,300237348
338;0,301186326
339;0,30132489
340;0,303518471
