n;mae
101;0,162517745
102;0,162438854
103;0,164910122
104;0,164763055
105;0,159422836
106;0,15429102
107;0,160029601
108;0,165515554
109;0,160344402
110;0,162289598
111;0,162318695
112;0,162347515
113;0,166403662
114;0,168610894
115;0,171594091
116;0,173937581
117;0,168643507
118;0,165505804
119;0,164293259
120;0,164317073
121;0,166161139
122;0,165888602
123;0,171333001
124;0,171405628
125;0,171405628
126;0,171557557
127;0,171541048
128;0,1750421
129;0,178715274
130;0,172710355
131;0,17273432
132;0,172526073
133;0,172527949
134;0,166873555
135;0,164404192
136;0,163042519
137;0,162936664
138;0,157659078
139;0,162893909
140;0,169044175
141;0,172850639
142;0,18080959
143;0,183303607
144;0,180489117
145;0,18275473
146;0,182760721
147;0,178756441
148;0,178744201
149;0,175412275
150;0,182015736
151;0,17628844
152;0,176287913
153;0,17633016
154;0,174995409
155;0,174995228
156;0,17226727
157;0,172123423
158;0,164891984
159;0,164891984
160;0,164901112
161;0,164936218
162;0,162706173
163;0,166025226
164;0,162839325
165;0,162842916
166;0,166244638
167;0,167971647
168;0,163838104
169;0,165622833
170;0,169270912
171;0,168024713
172;0,1679196
173;0,162269115
174;0,162281691
175;0,159167395
176;0,152965901
177;0,147049897
178;0,147077943
179;0,151363165
180;0,157929745
181;0,159937742
182;0,157890539
183;0,159441114
184;0,158878524
185;0,162686903
186;0,16833035
187;0,163855885
188;0,164970065
189;0,169062152
190;0,172991076
191;0,171362915
192;0,167281226
193;0,166959446
194;0,161790731
195;0,158074238
196;0,158048668
197;0,157914343
198;0,157664456
199;0,163361635
200;0,163094174
201;0,16298329
202;0,162974342
203;0,160075679
204;0,160075679
205;0,160075679
206;0,160129704
207;0,158204812
208;0,152688303
209;0,152774246
210;0,151102419
211;0,151066761
212;0,151037772
213;0,148318676
214;0,146138769
215;0,147870744
216;0,145578757
217;0,151137067
218;0,152494417
219;0,155656874
220;0,155618215
221;0,153416313
222;0,153479099
223;0,152906544
224;0,156193548
225;0,156194688
226;0,156045191
227;0,16005108
228;0,154743464
229;0,15107029
230;0,151104642
231;0,151083387
232;0,151062076
233;0,155898998
234;0,161992798
235;0,162005862
236;0,164871009
237;0,164869933
238;0,165060459
239;0,159477551
240;0,153350882
241;0,149747144
242;0,14195999
243;0,139465974
244;0,140571434
245;0,138190991
246;0,138126508
247;0,143064667
248;0,143111925
249;0,143142924
250;0,136574509
251;0,136574509
252;0,136610134
253;0,142826477
254;0,142791626
255;0,148408685
256;0,148373229
257;0,149578655
258;0,150114072
259;0,15672189
260;0,156885568
261;0,159088464
262;0,157521826
263;0,158145306
264;0,161785317
265;0,16181659
266;0,158488099
267;0,160559183
268;0,160592124
269;0,161169559
270;0,157599119
271;0,161623179
272;0,166830627
273;0,171322881
274;0,174524143
275;0,174488173
276;0,174503467
277;0,174338463
278;0,174335089
279;0,172905022
280;0,168299079
281;0,166279724
282;0,166509554
283;0,169186115
284;0,166569074
285;0,166740268
286;0,163333208
287;0,163360151
288;0,162272292
289;0,164401421
290;0,160372002
291;0,160339131
292;0,161835592
293;0,166129405
294;0,16614254
295;0,165733715
296;0,165759285
297;0,167102355
298;0,167147194
299;0,161649976
300;0,161821674
301;0,161620184
302;0,161650725
303;0,16164926
304;0,161618755
305;0,161618755
306;0,163416727
307;0,159648726
308;0,159679283
309;0,159445648
310;0,166955487
311;0,168646897
312;0,168654091
313;0,168287451
314;0,17336871
315;0,169427236
316;0,169378015
317;0,170980896
318;0,169427605
319;0,167971028
320;0,16798954
321;0,168511714
322;0,175220371
323;0,17233118
324;0,171299632
325;0,175592656
326;0,176589121
327;0,172615108
328;0,172816467
329;0,176268089
330;0,179001098
331;0,180732674
332;0,184157084
333;0,179388888
334;0,173315785
335;0,174701119
336;0,172396994
337;0,172398576
338;0,174830031
339;0,174834394
340;0,175038196
341;0,175063892
342;0,175064068
343;0,180539229
344;0,176325128
345;0,176325128
346;0,176505258
347;0,170842882
348;0,171024748
349;0,170981201
350;0,171149479
351;0,171317772
352;0,171486141
353;0,165437954
354;0,165645451
355;0,160089659
356;0,160327615
357;0,159125703
358;0,158605471
359;0,152010545
360;0,154322243
361;0,157898372
362;0,157760632
363;0,152824673
364;0,147477196
365;0,147477196
366;0,152822227
367;0,149028822
368;0,153194821
369;0,154832109
370;0,154609509
371;0,155206084
372;0,154068325
373;0,149642679
374;0,150533541
375;0,150697741
376;0,151365757
377;0,151365757
378;0,153399145
379;0,152713954
380;0,15651222
381;0,156518116
382;0,154001083
383;0,151179885
384;0,154621061
385;0,150680184
386;0,148578684
387;0,14852555
388;0,155857747
389;0,153158432
390;0,153158432
391;0,156386436
392;0,154889975
393;0,150998715
394;0,150998715
395;0,1556298
396;0,157474112
397;0,159154236
398;0,15913385
399;0,162914936
400;0,164249221
401;0,164224387
402;0,164570997
403;0,164602655
404;0,164597111
405;0,167379092
406;0,165339125
407;0,166333263
408;0,166297358
409;0,166289726
410;0,158498395
411;0,156831762
412;0,156817717
413;0,155760381
414;0,15064316
415;0,14990479
416;0,150155311
417;0,142986342
418;0,14300786
419;0,138003964
420;0,143031991
421;0,146399252
422;0,139665309
423;0,137534004
424;0,135171367
425;0,130841255
426;0,136150476
427;0,136102595
428;0,141231457
429;0,137779835
430;0,135046826
431;0,133336504
432;0,131986071
433;0,131938158
434;0,131932847
435;0,130568333
436;0,128672568
437;0,128671111
438;0,126037768
439;0,126066262
440;0,127796088
441;0,127620832
442;0,131984082
443;0,132182775
444;0,133411594
445;0,133411594
446;0,133196316
447;0,133206028
448;0,14096326
449;0,141006807
450;0,140803052
451;0,140634759
452;0,140454535
453;0,140286379
454;0,140215302
455;0,145036679
456;0,14483418
457;0,150699158
458;0,1506524
459;0,150596656
460;0,15329637
461;0,153489846
462;0,15329068
463;0,15332227
464;0,153308157
465;0,153268072
466;0,153163448
467;0,153193583
468;0,14903061
469;0,144875454
470;0,14489968
471;0,143173407
472;0,141955934
473;0,142243877
474;0,138184703
475;0,138024281
476;0,13732992
477;0,143826002
478;0,14356556
479;0,141395597
480;0,135667947
481;0,13568309
482;0,135191084
483;0,133819766
484;0,13378765
485;0,135319814
486;0,135346734
487;0,135424985
488;0,128059058
489;0,124537156
490;0,127741304
491;0,12454617
492;0,12454617
493;0,124173666
494;0,124173666
495;0,119542581
496;0,11769827
497;0,117199271
498;0,119957884
499;0,118033237
500;0,116519489
501;0,116581075
502;0,116234481
503;0,11618631
504;0,116191201
505;0,11340922
506;0,11344449
507;0,113655363
508;0,114383985
509;0,114422335
510;0,119175852
511;0,119186731
512;0,119222572
513;0,121899879
514;0,121935841
515;0,121935841
516;0,121706904
517;0,121717129
518;0,121717129
519;0,121690523
520;0,116651623
521;0,114582883
522;0,121440318
523;0,124698879
524;0,124840507
525;0,126532553
526;0,12039651
527;0,124460598
528;0,122687133
529;0,125488135
530;0,12925869
531;0,129319737
532;0,127513674
533;0,127513674
534;0,127513674
535;0,127513674
536;0,131050009
537;0,13106169
538;0,131344759
539;0,131380604
540;0,13336823
541;0,133402793
542;0,128867569
543;0,123193715
544;0,121796217
545;0,121796217
546;0,127377097
547;0,129012746
548;0,126362799
549;0,131986397
550;0,132497591
551;0,132497591
552;0,132521956
553;0,132538458
554;0,133591883
555;0,128921722
556;0,128921722
557;0,123088076
558;0,123119649
559;0,127900976
560;0,122755096
561;0,12321071
562;0,12535529
563;0,12535529
564;0,131173492
565;0,136548369
566;0,131229049
567;0,134601143
568;0,134752677
569;0,134784625
570;0,134757647
571;0,13174684
572;0,128927998
573;0,128573448
574;0,128613769
575;0,128723621
576;0,128738597
577;0,127159793
578;0,125400404
579;0,125628716
580;0,125628716
581;0,125628716
582;0,127664556
583;0,127664556
584;0,122806452
585;0,125266331
586;0,12512281
587;0,13238473
588;0,134335893
589;0,134335893
590;0,131131745
591;0,131333803
592;0,136143892
593;0,136198082
594;0,137610207
595;0,141386152
596;0,144581116
597;0,141928244
598;0,139174233
599;0,136867288
600;0,143335926
601;0,143357118
602;0,143357101
603;0,143405272
604;0,143500128
605;0,143700073
606;0,143671094
607;0,142392266
608;0,141926259
609;0,141888399
610;0,140204291
611;0,140167088
612;0,140167088
613;0,137525283
614;0,139830747
615;0,140122061
616;0,140172017
617;0,140172017
618;0,142271018
619;0,142482844
620;0,146843815
621;0,14537275
622;0,142260958
623;0,145894481
624;0,145787407
625;0,145807328
626;0,145996072
627;0,145789721
628;0,142233716
629;0,144190868
630;0,141858518
631;0,141769752
632;0,141523149
633;0,145754251
634;0,145754251
635;0,145725331
636;0,142188996
637;0,143135864
638;0,147500552
639;0,147432395
640;0,143511141
641;0,143831474
642;0,145098469
643;0,149168172
644;0,149184705
645;0,149155359
646;0,145271026
647;0,143483411
648;0,138849386
649;0,13352426
650;0,13900731
651;0,138980386
652;0,138936713
653;0,138920211
654;0,137789096
655;0,141465645
656;0,14143685
657;0,146066545
658;0,146066545
659;0,141328071
660;0,142731997
661;0,136771513
662;0,134626933
663;0,139932483
664;0,138037659
665;0,132702867
666;0,132731603
667;0,133447402
668;0,133412993
669;0,133412993
670;0,133439971
671;0,137394974
672;0,137422226
673;0,137460822
674;0,138862802
675;0,13878514
676;0,139867899
677;0,134950619
678;0,134941232
679;0,134857425
680;0,136385913
681;0,13645975
682;0,136059944
683;0,136379393
684;0,136344151
685;0,133794181
686;0,134618808
687;0,133910822
688;0,132030306
689;0,132030306
690;0,133376454
691;0,133137995
692;0,128296784
693;0,132165948
694;0,134736934
695;0,130929499
696;0,127734535
697;0,127731632
698;0,127731632
699;0,127731632
700;0,125694572
701;0,125734943
702;0,129461235
703;0,131222796
704;0,137733183
705;0,143397097
706;0,143426076
707;0,144677893
708;0,149989934
709;0,155978831
710;0,152922133
711;0,152959335
712;0,152928192
713;0,152928192
714;0,150622728
715;0,150282851
716;0,150232895
717;0,153666511
718;0,15156751
719;0,151654917
720;0,147296325
721;0,147147054
722;0,148239586
723;0,141355876
724;0,147281608
725;0,14700079
726;0,147160862
727;0,144410649
728;0,14997817
729;0,150134708
730;0,148783356
731;0,148785381
732;0,14878453
733;0,144498391
734;0,146166275
735;0,147785445
736;0,148128489
737;0,147172346
738;0,145686738
739;0,145683689
740;0,145683689
741;0,145302259
742;0,144035265
743;0,139937588
744;0,143267765
745;0,147042471
746;0,14561119
747;0,145585191
748;0,144930064
749;0,144821354
750;0,144231182
751;0,144258106
752;0,149493432
753;0,150763962
754;0,15071166
755;0,151141969
756;0,151170764
757;0,146541069
758;0,148042897
759;0,153138965
760;0,157744433
761;0,162199558
762;0,165618846
763;0,167275435
764;0,163353741
765;0,163353741
766;0,16334536
767;0,16096853
768;0,160841428
769;0,160787308
770;0,167051961
771;0,16660184
772;0,169455202
773;0,173217998
774;0,175720675
775;0,181662328
776;0,180609234
777;0,180609234
