n;mae
500;0,23817477
501;0,23786519
502;0,238420158
503;0,235635403
504;0,236254332
505;0,232831588
506;0,234047188
507;0,237852166
508;0,240739639
509;0,244276543
510;0,246650482
511;0,246567518
512;0,243793584
513;0,247834899
514;0,247967257
515;0,247152002
516;0,247191904
517;0,246818046
518;0,242742008
519;0,246991564
520;0,243742822
521;0,246561128
522;0,24348416
523;0,243179515
524;0,244016411
525;0,247967144
526;0,24789239
527;0,247490267
528;0,246486907
529;0,243889723
530;0,243966116
531;0,242071961
532;0,237536119
533;0,233199746
534;0,233109307
535;0,232737287
536;0,23351685
537;0,232626753
538;0,235336772
539;0,238938897
540;0,238925721
541;0,243211969
542;0,246511148
543;0,246570891
544;0,243102207
545;0,244594669
546;0,240431333
547;0,238111077
548;0,241797365
549;0,239807857
550;0,236844099
551;0,232593428
552;0,233648487
553;0,231400431
554;0,232190902
555;0,228184767
556;0,226893592
557;0,223966421
558;0,222569113
559;0,223334689
560;0,220227189
561;0,221910806
562;0,222236969
563;0,226443801
564;0,230130871
565;0,235296345
566;0,235156602
567;0,239920532
568;0,244666799
569;0,247931931
570;0,250974557
571;0,251388236
572;0,252532545
573;0,256406696
574;0,256574725
575;0,253736881
576;0,25709701
577;0,259747365
578;0,259493936
579;0,25705856
580;0,255411482
581;0,25536894
582;0,25395244
583;0,253203532
584;0,250607383
585;0,249515898
586;0,247025468
587;0,24857641
588;0,253000115
589;0,249814412
590;0,246907322
591;0,24233447
592;0,244370336
593;0,241402114
594;0,240704231
595;0,237385922
596;0,235578335
597;0,235471546
598;0,231833381
599;0,230692111
600;0,231039224
601;0,229743372
602;0,228538912
603;0,231153962
604;0,231162377
605;0,231023187
606;0,22710339
607;0,22623598
608;0,223348609
609;0,222908578
610;0,222194615
611;0,226942952
612;0,226964079
613;0,222751663
614;0,2226178
615;0,221721909
616;0,221511162
617;0,21730947
618;0,217173548
619;0,215490478
620;0,21481316
621;0,211559658
622;0,214851112
623;0,214008758
624;0,213896568
625;0,211523622
626;0,213083281
627;0,215864998
628;0,212592089
629;0,210153039
630;0,210212084
631;0,213136009
632;0,215232152
633;0,218071794
634;0,217381552
635;0,216036805
636;0,212934156
637;0,211973077
638;0,211740945
639;0,212036836
640;0,215985945
641;0,21393028
642;0,214315309
643;0,217666587
644;0,21765336
645;0,217225248
646;0,221114442
647;0,222858577
648;0,219172289
649;0,222090736
650;0,223197971
651;0,226284524
652;0,227518157
653;0,226454449
654;0,223753714
655;0,226507934
656;0,228088125
657;0,230605729
658;0,229074804
659;0,229351739
660;0,233645132
661;0,229409324
662;0,228802071
663;0,227141567
664;0,226860306
665;0,225388042
666;0,225906906
667;0,221559362
668;0,217410725
669;0,216701738
670;0,216931972
671;0,218895345
672;0,218439066
673;0,216187607
674;0,216288058
675;0,216108573
676;0,214673304
677;0,21470656
678;0,214373426
679;0,214323083
680;0,216494952
681;0,214153464
682;0,213588946
683;0,213678893
684;0,216827841
685;0,214864058
686;0,217587867
687;0,216972784
688;0,215562463
689;0,220146327
690;0,224386766
691;0,227176817
692;0,222172399
693;0,224126837
694;0,225557254
695;0,225454294
696;0,228791001
697;0,228026487
698;0,227932235
699;0,225174957
700;0,222179335
701;0,219377243
702;0,219836269
703;0,217101495
704;0,218247121
705;0,221848335
706;0,225040805
707;0,222014555
708;0,225518616
709;0,222488263
710;0,220862177
711;0,218075754
712;0,221082611
713;0,223642447
714;0,223660936
715;0,223696204
716;0,222946957
717;0,222932733
718;0,225285328
719;0,225074005
720;0,225078634
721;0,225081821
722;0,222436814
723;0,22050408
724;0,217329315
725;0,218088101
726;0,219406685
727;0,216446876
728;0,218776432
729;0,221901668
730;0,222645841
731;0,219034242
732;0,218469032
733;0,2148067
734;0,214800921
735;0,216899158
736;0,221802991
737;0,223045107
738;0,220631932
739;0,219218475
740;0,215274151
741;0,216000125
742;0,214476615
743;0,209270143
744;0,213725059
745;0,210728975
746;0,209275809
747;0,207539395
748;0,21055675
749;0,207712904
750;0,204340672
751;0,203686351
752;0,203040225
753;0,20651303
754;0,20946905
755;0,209208282
756;0,209726233
757;0,210659807
758;0,214441584
759;0,211830673
760;0,207540073
761;0,207024643
762;0,208044832
763;0,208018099
764;0,207051124
765;0,208093907
766;0,207579081
767;0,209376043
768;0,208736647
769;0,209189389
770;0,209023407
771;0,206604589
772;0,203616283
773;0,204491049
774;0,201962935
775;0,204724637
776;0,203177455
777;0,204750048
778;0,20515529
779;0,20903141
780;0,208763242
781;0,211456276
782;0,215208395
783;0,215036196
784;0,215496121
785;0,219025303
786;0,219743778
787;0,216033841
788;0,213056549
789;0,208419384
790;0,207521897
791;0,208174778
792;0,210098178
793;0,210889921
794;0,210144838
795;0,21284937
796;0,209510539
797;0,208082204
798;0,210087825
799;0,21224003
800;0,212433808
801;0,212727904
802;0,213906798
803;0,216667877
804;0,214723135
805;0,215712699
806;0,215325701
807;0,215313941
808;0,215559184
809;0,215557186
810;0,219975517
811;0,218831515
812;0,219671951
813;0,219159866
814;0,222656542
815;0,224075215
816;0,224407483
817;0,227814167
818;0,22830699
819;0,229821096
820;0,232983716
821;0,236384567
822;0,23949414
823;0,238938974
824;0,242237769
825;0,242592422
826;0,239222154
827;0,243916413
828;0,241575733
829;0,2384384
830;0,238443553
831;0,242974621
832;0,240773862
833;0,244645795
834;0,244639815
835;0,241860624
836;0,240789515
837;0,239900248
838;0,239832937
839;0,2373483
840;0,240764229
841;0,237529127
842;0,236974954
843;0,237655761
844;0,236493615
845;0,239094882
846;0,238138277
847;0,242165815
848;0,239149656
849;0,238207596
850;0,238200466
851;0,236175573
852;0,23671588
853;0,236075908
854;0,232575629
855;0,232366505
856;0,231871452
857;0,230774994
858;0,230428959
859;0,233743429
860;0,234580624
861;0,238773694
862;0,235161692
863;0,236079722
864;0,234822031
865;0,231387419
866;0,234301111
867;0,235409629
868;0,240183701
869;0,240593693
870;0,240620539
871;0,242748141
872;0,242748141
873;0,243925021
874;0,243742685
875;0,24463879
876;0,244288047
877;0,240470449
878;0,240306285
879;0,240004258
880;0,237168737
881;0,236702577
882;0,23417244
883;0,232965129
884;0,2292867
885;0,229463005
886;0,230151257
887;0,230152347
888;0,234407377
889;0,238300268
890;0,234898276
891;0,235483687
892;0,236907496
893;0,234102568
894;0,230774164
895;0,228201034
896;0,228133172
897;0,226709885
898;0,224210623
899;0,221579755
900;0,221871451
901;0,221602446
902;0,217153095
903;0,217903094
904;0,215369239
905;0,214252789
906;0,215523247
907;0,219548871
908;0,219439946
909;0,224025236
910;0,221989729
911;0,22362903
912;0,221922237
913;0,222596264
914;0,220508068
915;0,216029994
916;0,215458666
917;0,215160117
918;0,212308719
919;0,211505061
920;0,211870911
921;0,211398568
922;0,209880783
923;0,213729261
924;0,21460684
925;0,21392223
926;0,216009283
927;0,216521233
928;0,218770997
929;0,22135443
930;0,221172259
931;0,222119436
932;0,222619811
933;0,2192964
934;0,22225671
935;0,220061013
936;0,218136794
937;0,217544361
938;0,217536064
939;0,217659806
940;0,214241935
941;0,216654769
942;0,217916715
943;0,215425058
944;0,214495762
945;0,216904665
946;0,218163372
947;0,215240589
948;0,218123442
949;0,219470099
950;0,220969484
951;0,222843503
952;0,222146385
953;0,223660689
954;0,226648482
955;0,229178834
956;0,226126741
957;0,227008599
958;0,226663519
959;0,226727714
960;0,23108526
961;0,230660777
962;0,23507343
963;0,23457575
964;0,237019133
965;0,235571023
966;0,236794425
967;0,236743369
968;0,23205541
969;0,233910066
970;0,230754785
971;0,228652339
972;0,231449171
973;0,229392204
974;0,228874995
975;0,230024238
976;0,234347329
977;0,236929667
978;0,237405049
979;0,233312092
980;0,234796814
981;0,235848322
982;0,238404707
983;0,24026648
984;0,240362381
985;0,236788421
986;0,232790538
987;0,233188062
988;0,229139615
989;0,225333649
990;0,225430018
991;0,224863816
992;0,225507064
993;0,228886096
994;0,228923635
995;0,231873545
996;0,234648693
997;0,235271274
998;0,238427193
999;0,238536162
1000;0,238088633
1001;0,238189653
1002;0,241083113
1003;0,239410091
1004;0,244194305
1005;0,244685395
1006;0,240529558
1007;0,236508432
1008;0,237511029
1009;0,236263812
1010;0,237527402
1011;0,238884732
1012;0,236681856
1013;0,238350747
1014;0,236926239
1015;0,240033335
1016;0,239498513
1017;0,239932029
1018;0,239932029
1019;0,236762041
1020;0,234374167
1021;0,231955192
1022;0,23200164
1023;0,228668675
1024;0,224406468
1025;0,221746637
1026;0,219646997
1027;0,218375345
1028;0,220494816
1029;0,217911383
1030;0,217603745
1031;0,212111172
1032;0,211592308
1033;0,212275921
1034;0,209316821
1035;0,209316673
1036;0,209727428
1037;0,210035426
1038;0,214642991
1039;0,214516716
1040;0,214516716
1041;0,216582501
1042;0,213589893
1043;0,21712488
1044;0,219278769
1045;0,217794529
1046;0,218270109
1047;0,22061073
1048;0,221404293
1049;0,222138887
1050;0,223871226
1051;0,221594638
1052;0,222293495
1053;0,222266309
1054;0,221338341
1055;0,216528432
1056;0,220616506
1057;0,21737872
1058;0,21807728
1059;0,215790549
1060;0,213626488
1061;0,212709629
1062;0,211947147
1063;0,208868421
1064;0,208749033
1065;0,208753662
1066;0,20461253
1067;0,205452921
1068;0,209026898
1069;0,203753986
1070;0,203743202
1071;0,203735417
1072;0,200944197
1073;0,198510844
1074;0,20241522
1075;0,199856914
1076;0,195009243
1077;0,191892407
1078;0,191607692
1079;0,194676472
1080;0,19134435
1081;0,188391438
1082;0,184621716
1083;0,180532948
1084;0,183600093
1085;0,183467607
1086;0,1833928
1087;0,185913341
1088;0,185679289
1089;0,188728478
1090;0,191419284
1091;0,190816559
1092;0,18686301
1093;0,183653137
1094;0,187052735
1095;0,184026537
1096;0,181327518
1097;0,183381313
1098;0,180190199
1099;0,180591736
1100;0,180561513
1101;0,180436129
1102;0,17981352
1103;0,181787957
1104;0,1801676
1105;0,182572646
1106;0,182539372
1107;0,184835063
1108;0,185312199
1109;0,181549086
1110;0,178997346
1111;0,177703893
1112;0,17827818
1113;0,176539461
1114;0,179498949
1115;0,178717575
1116;0,179682574
1117;0,176215407
1118;0,178988252
1119;0,181982485
1120;0,185255993
1121;0,187019442
1122;0,187173164
1123;0,186661113
1124;0,18611218
1125;0,18611218
1126;0,188186213
1127;0,186500783
1128;0,184349564
1129;0,186349104
1130;0,185950687
1131;0,190928283
1132;0,190942575
1133;0,189698828
1134;0,193188871
1135;0,196590822
1136;0,194271483
1137;0,191746866
1138;0,190490641
1139;0,190482315
1140;0,190502416
1141;0,188180049
1142;0,188168925
1143;0,187364577
1144;0,182846083
1145;0,181475154
1146;0,182322413
1147;0,178868071
1148;0,178421633
1149;0,174719922
1150;0,176214508
1151;0,176213217
1152;0,175629931
1153;0,171810356
1154;0,170267645
1155;0,170780529
1156;0,16929753
1157;0,169301569
1158;0,165512199
1159;0,164300501
1160;0,164414296
1161;0,164899023
1162;0,16439366
1163;0,16772206
1164;0,164588292
1165;0,167366682
1166;0,170667659
1167;0,170990279
1168;0,170670077
1169;0,174999802
1170;0,178342787
1171;0,178327877
1172;0,182899018
1173;0,182858591
1174;0,178953983
1175;0,176779593
1176;0,180997568
1177;0,185819278
1178;0,182818737
1179;0,179775113
1180;0,183092977
1181;0,18276431
1182;0,18562639
1183;0,186128641
1184;0,183516131
1185;0,183506836
1186;0,183450241
1187;0,182833882
1188;0,185774255
1189;0,182596879
1190;0,182612179
1191;0,182618233
1192;0,183094208
1193;0,187520089
1194;0,184114793
1195;0,185686219
1196;0,188956897
1197;0,186730294
1198;0,187283804
1199;0,190415892
1200;0,190409264
1201;0,190974164
1202;0,190770593
1203;0,186943961
1204;0,183664576
1205;0,180460883
1206;0,183413815
1207;0,181115281
1208;0,175894628
1209;0,17580095
1210;0,174706277
1211;0,172155292
1212;0,173793129
1213;0,171137932
1214;0,171200726
1215;0,16844628
1216;0,168518709
1217;0,17177475
1218;0,169026044
1219;0,166585513
1220;0,166536579
1221;0,165685084
1222;0,163238823
1223;0,166361647
1224;0,170122671
1225;0,174457759
1226;0,176542081
1227;0,174290921
1228;0,175150546
1229;0,176271757
1230;0,174022735
1231;0,172069883
1232;0,17205559
1233;0,173779038
1234;0,170288996
1235;0,170332587
1236;0,170848319
1237;0,175395092
1238;0,176975899
1239;0,177526028
1240;0,180399567
1241;0,182267832
1242;0,182267831
1243;0,17898867
1244;0,178993299
1245;0,1768393
1246;0,172779773
1247;0,176081746
1248;0,172850572
1249;0,175632753
1250;0,171560232
1251;0,175190189
1252;0,173560962
1253;0,176420286
1254;0,175902534
1255;0,17538367
1256;0,172754491
1257;0,175944286
1258;0,178400164
1259;0,178404488
1260;0,180628173
1261;0,180568351
1262;0,177421081
1263;0,179026847
1264;0,181895646
1265;0,181262931
1266;0,180513755
1267;0,179489083
1268;0,179988483
1269;0,1757922
1270;0,175777045
1271;0,175778011
1272;0,171302661
1273;0,174723918
1274;0,178284794
1275;0,178921792
1276;0,175250828
1277;0,174811928
1278;0,177886871
1279;0,182627728
1280;0,181979295
1281;0,185379722
1282;0,184125218
1283;0,183705749
1284;0,186734703
1285;0,18673737
1286;0,19115601
1287;0,188914917
1288;0,189630341
1289;0,189724802
1290;0,187486893
1291;0,185145341
1292;0,187625641
1293;0,183091311
1294;0,182559027
1295;0,181574185
1296;0,182990485
1297;0,186270154
1298;0,185752943
1299;0,18597426
1300;0,190584232
1301;0,194298926
1302;0,192231646
1303;0,196132999
1304;0,196117875
1305;0,19718921
1306;0,197950749
1307;0,202409371
1308;0,205935717
1309;0,210041524
1310;0,21330509
1311;0,217765367
1312;0,218929406
1313;0,222360105
1314;0,220074564
1315;0,220202448
1316;0,217471856
1317;0,216417939
1318;0,2163938
1319;0,215843933
1320;0,214192628
1321;0,217027798
1322;0,221164575
1323;0,218623636
1324;0,214857982
1325;0,215020003
1326;0,210855815
1327;0,213483048
1328;0,212989205
1329;0,209873084
1330;0,212454893
1331;0,210015496
1332;0,213694162
1333;0,215444152
1334;0,21891653
1335;0,215476967
1336;0,215794555
1337;0,213200145
1338;0,211704152
1339;0,211735936
1340;0,208842887
1341;0,204821789
1342;0,204818543
1343;0,208895157
1344;0,212195295
1345;0,214586443
