case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability
582;0,545413844;0,455445545;0,387650086;0,534653465;1;0;0;0,479137034;-0,092156863;True;2;17;0,067802697;0,06677904;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
583;0,545413844;0,455445545;0,38869863;0,534653465;0;0;0;0,479137034;1,5;True;-1;21;0,069820069;0,070445575;0,070732959;0,070041969;0,069239616;0,068939254;0,066838704;0,066376351;0,066135749;0,065648906;0,067901842;0,067672566;0,067502961;0,067708418;0,067300729;0,066575788;0,071424864;0,070441052;0,070023023;0,070481583;0,069910519;-1;-1
584;0,54640632;0,465346535;0,38974359;0,544554455;1;0;0;0,486067727;-0,3;True;6;15;0,105417028;0,126760095;0,114574149;0,115291856;0,121024027;0,117808625;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
585;0,546648412;0,475247525;0,390784983;0,534653465;0;0;0;0,49629875;1,5;True;-1;13;0,072635822;0,074102499;0,085327379;0,082209356;0,079723112;0,074738055;0,072591141;0,074328721;0,073804006;0,069565073;0,066946469;0,066251017;0,065875299;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
586;0,546648412;0,475247525;0,39011925;0,534653465;0;0;0;0,49629875;-1;False;-1;13;0,075613081;0,072572969;0,073440075;0,069379978;0,068553358;0,068211302;0,065373108;0,127145261;0,114981987;0,112758234;0,113272995;0,119264446;0,117294751;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
587;0,553492567;0,465346535;0,389455782;0,544554455;1;0;0;0,481396491;-0,005128205;False;1;13;0,074610062;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
588;0,558314653;0,465346535;0,39049236;0,554455446;1;0;0;0,466001422;-0,054901961;True;3;17;0,086901389;0,080915287;0,085957609;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
589;0,558314653;0,465346535;0,391525424;0,554455446;0;0;0;0,466001422;1,5;True;-1;11;0,081772894;0,074601784;0,075776733;0,071092799;0,069629975;0,066650487;0,066350035;0,064098217;0,066384181;0,06588316;0,065320395;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
590;0,548149818;0,465346535;0,390862944;0,554455446;1;0;0;0,456582788;-0,284615385;False;10;13;0,070827805;0,071155123;0,07042066;0,069573686;0,0689345;0,068115294;0,067126364;0,066565126;0,065167792;0,063901365;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
591;0,548149818;0,455445545;0,390202703;0,554455446;0;0;0;0,431830313;-1;False;-1;7;0,102612361;0,096096896;0,091034442;0,071430162;0,06784334;0,070841901;0,069096304;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
592;0,54123221;0,445544554;0,389544688;0,564356436;1;0;0;0,413780046;-0,323076923;False;11;13;0,087258361;0,08027155;0,085202754;0,075482033;0,073149107;0,073120274;0,069261685;0,066269726;0,066713974;0,0659374;0,06538368;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
