case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability;step_22_probability;step_23_probability;step_24_probability;step_25_probability;step_26_probability;step_27_probability;step_28_probability;step_29_probability;step_30_probability;step_31_probability;step_32_probability;step_33_probability;step_34_probability;step_35_probability;step_36_probability;step_37_probability;step_38_probability;step_39_probability;step_40_probability;step_41_probability;step_42_probability
3068;0,486842497;0,801980198;0,841158841;0,257425743;0;0;0;0,566954436;1;True;-1;4;0,008034833;0,004443969;0,002620067;0,001737176;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3069;0,486842497;0,811881188;0,841158841;0,257425743;0;0;0;0,586756416;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3070;0,486842497;0,811881188;0,841158841;0,257425743;0;0;0;0,586756416;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3071;0,498697149;0,811881188;0,841158841;0,247524752;0;0;0;0,59076396;1;True;-1;4;0,008156935;0,004508864;0,002656532;0,001760251;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3072;0,498697149;0,821782178;0,841158841;0,247524752;0;0;0;0,61056594;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3073;0,488226197;0,831683168;0,841158841;0,237623762;0;0;0;0,629749108;1;True;-1;4;0,008156935;0,004508864;0,002656532;0,001767248;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3074;0,488226197;0,831683168;0,841158841;0,237623762;0;0;0;0,629749108;1;True;-1;8;0,011058521;0,007968302;0,00585193;0,004657868;0,005244386;0,005787076;0,002439311;0,001758913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3075;0,488226197;0,831683168;0,841158841;0,237623762;0;0;0;0,629749108;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3076;0,477969165;0,821782178;0,84015984;0,227722772;0;0;0;0,611312782;-1;False;-1;20;0,013344898;0,011488279;0,011973852;0,010768489;0,010095651;0,02631275;0,006817275;0,005763328;0,005106447;0,004460339;0,004031059;0,003649828;0,003314618;0,002990629;0,002689721;0,002420112;0,002193041;0,002039273;0,001835712;0,001705897;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
3077;0,485709022;0,821782178;0,84015984;0,217821782;0;0;0;0,614740048;1;True;-1;2;0,004609578;0,001713133;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
