case_id;earliness_avg;true_avg_100;true_avg_1000;adaption_rate_avg;adapt_per_ep;costs_avg;cost_per_ep;rewards_avg;reward_per_ep;true_per_ep;position_adaptation_per_ep;case_length_per_ep;step_1_probability;step_2_probability;step_3_probability;step_4_probability;step_5_probability;step_6_probability;step_7_probability;step_8_probability;step_9_probability;step_10_probability;step_11_probability;step_12_probability;step_13_probability;step_14_probability;step_15_probability;step_16_probability;step_17_probability;step_18_probability;step_19_probability;step_20_probability;step_21_probability
665;0,58621585;0,613861386;0,380451128;0,376237624;0;0;0;0,609618163;-1;False;-1;11;0,042614527;0,042496786;0,04063417;0,031654947;0,070860453;0,058017455;0,059898615;0,058677394;0,058740851;0,055836391;0,046043716;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
666;0,592520571;0,623762376;0,381381381;0,366336634;0;0;0;0,626352778;1,5;True;-1;11;0,038609371;0,030811328;0,02733461;0,024189791;0,021434804;0,018735727;0,016020989;0,014446203;0,013000968;0,013265708;0,012591599;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
667;0,591965518;0,613861386;0,380809595;0,376237624;1;0;0;0,613340048;0,185714286;False;3;7;0,037433971;0,041501328;0,023012931;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
668;0,591965518;0,603960396;0,380239521;0,376237624;0;0;0;0,588587573;-1;False;-1;17;0,036342047;0,031990763;0,029335344;0,030273674;0,034081675;0,034822531;0,031579107;0,026442325;0,025837248;0,022809826;0,019976581;0,018568344;0,017258661;0,018127996;0,016194893;0,016253894;0,022021314;-1;-1;-1;-1
669;0,591965518;0,613861386;0,381165919;0,376237624;0;0;0;0,613340048;1,5;True;-1;7;0,042744856;0,028499924;0,03228585;0,025827738;0,018202504;0,015708456;0,012705506;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
670;0,590894885;0,623762376;0,382089552;0,366336634;0;0;0;0,628035202;1,5;True;-1;15;0,026076436;0,024247549;0,023155363;0,021004338;0,019560037;0,018334161;0,017127056;0,024601173;0,023103015;0,021628786;0,02256522;0,019720778;0,019223306;0,017282519;0,015852487;-1;-1;-1;-1;-1;-1
671;0,590894885;0,623762376;0,383010432;0,366336634;0;0;0;0,628035202;1,5;True;-1;11;0,050729975;0,049988642;0,034008428;0,030641833;0,026224952;0,025073396;0,023311948;0,022780372;0,017430609;0,020532414;0,016294198;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
672;0,592298886;0,623762376;0,382440476;0,366336634;1;0;0;0,629612502;0,354545455;False;1;11;0,037961267;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
673;0,592298886;0,633663366;0,383358098;0,366336634;0;0;0;0,654364978;1,5;True;-1;13;0,049262635;0,042917673;0,040050805;0,036410846;0,033726871;0,026981121;0,027614856;0,026081692;0,023837857;0,02462565;0,022206362;0,020897742;0,019831933;-1;-1;-1;-1;-1;-1;-1;-1
674;0,588381263;0,633663366;0,382789318;0,356435644;0;0;0;0,643143855;-1;False;-1;11;0,034777649;0,033030011;0,031026324;0,030226115;0,028684426;0,022821117;0,031385146;0,026064463;0,024588322;0,022261679;0,019069454;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
